UID,SAMPLEID,STATION,MODEL,O,E,OE,MMI,AIM_rtg,MODELTEST,COUNT,INVASIVE_MACRO
046B8131-82AB-44FF-96B9-72D2848F95A6,158438,RA-SS-11161,WY2018_WYOMING BASIN,3,7.13556692,0.420429103,,Poor,pass,123,ABSENT
DCC41031-91D1-40D8-B07B-1294B4915326,158439,RA-SS-11289,WY2018_WYOMING BASIN,4,7.099613623,0.563410942,,Poor,pass,300,ABSENT
973070E6-3FE3-4CAF-92FA-9C5943346039,158440,RA-SS-11353,WY2018_WYOMING BASIN,3,7.712393824,0.388984285,,Poor,pass,300,ABSENT
B6FB2C23-42ED-4690-B7BF-723DF12E1787,158441,RA-SS-11513,WY2018_WYOMING BASIN,1,6.803209582,0.146989445,,Poor,pass,36,ABSENT
B5A9F116-BA9F-47C8-BF5D-C1951A46F04C,158442,RA-SS-11545,WY2018_SOUTH FH LARAMIE RANGE,8,12.51041283,0.639467307,,Poor,pass,289,ABSENT
6D64E3B4-AE0E-4A28-BABD-4C94C239059A,158443,RA-SS-11602,WY2018_SOUTH FH LARAMIE RANGE,5,10.20091485,0.490152116,,Poor,pass,300,ABSENT
406C37F2-BAC4-4294-872F-0FA88A9CB70D,158444,RA-SS-11666,WY2018_SE PLAINS,5,8.908611201,0.56125471,,Fair,pass,300,ABSENT
23B9ED0E-1098-4B17-B5B1-BA7F0972E2B8,158445,RA-SS-11673,WY2018_WYOMING BASIN,8,8.509674839,0.940106426,,Good,pass,300,ABSENT
985119F7-AF6A-4107-8986-CC1254FE9312,158446,RA-SS-11801,WY2018_WYOMING BASIN,6,6.830941951,0.878356169,,Good,pass,147,ABSENT
C2AE8A9F-23B0-4191-B65A-A242598AC120,158447,RA-SS-11858,WY2018_WYOMING BASIN,6,8.884862592,0.675305885,,Fair,pass,299,ABSENT
2D0C01EF-AE8F-4329-B176-5218857B20D9,164380,RA-LS-15193,WY2018_WYOMING BASIN,7,8.796271803,0.79579169,,Fair,pass,300,ABSENT
BDAF19E9-1BCE-4E5D-844A-ACA2DF602A36,164381,RA-LS-16274,WY2018_WYOMING BASIN,7,8.926395118,0.784191144,,Fair,pass,298,ABSENT
BA1D0A58-224E-4386-8A4A-A3682247ABED,164382,RA-LS-16530,WY2018_WYOMING BASIN,8,8.921311441,0.896729147,,Good,pass,300,ABSENT
5AD8B060-CD48-45C8-979E-1315842F8B2E,164383,RA-LS-16633,WY2018_WYOMING BASIN,6,8.903865311,0.673864641,,Fair,pass,300,ABSENT
BB8A8180-EEE7-4656-8DE1-08B70E8F6B62,164385,RA-LS-16645,WY2018_WYOMING BASIN,6,8.749217434,0.685775619,,Fair,pass,300,ABSENT
D18B7907-69AB-4ABF-AD38-624A6CEEB422,164387,RA-RV-16901,WY2018_WYOMING BASIN,2,8.651588046,0.231171432,,Poor,pass,50,ABSENT
