scientific_name,model_abbreviation
Synorthocladius,CSCI
Tabanus/ Atylotus,CSCI
Taeniopterygidae,CSCI
Tanypodinae,CSCI
Tanytarsini,CSCI
Tanytarsus,CSCI
Testudacarus,CSCI
Thienemanniella,CSCI
Thienemannimyia group,CSCI
Timpanoga hecuba,CSCI
Tinodes,CSCI
Tipula,CSCI
Tipulidae,CSCI
Torrenticola,CSCI
Trichoptera,CSCI
Tricorythodes,CSCI
Trombidiformes,CSCI
Tubificidae,CSCI
Turbellaria,CSCI
Tvetenia,CSCI
Tvetenia bavarica group,CSCI
Tvetenia discoloripes group,CSCI
Uvarus subtilis,CSCI
Visoka cataractae,CSCI
Wandesia,CSCI
Wiedemannia,CSCI
Wormaldia,CSCI
Yoraperla,CSCI
Yoraperla nigrisoma,CSCI
Yphria californica,CSCI
Zaitzevia,CSCI
Zaitzevia parvula,CSCI
Zapada,CSCI
Zapada cinctipes,CSCI
Zapada columbiana,CSCI
Zapada frigida,CSCI
Zapada oregonensis group,CSCI
Zavrelimyia/ Paramerina,CSCI
Acari,PIBO
Acentrella,PIBO
Agapetus,PIBO
Allocosmoecus,PIBO
Ameletus,PIBO
Ametor,PIBO
Amiocentrus,PIBO
Amphinemura,PIBO
Anagapetus,PIBO
Antocha,PIBO
Apatania,PIBO
Arctopsyche,PIBO
Ascaphus,PIBO
Astacidae,PIBO
Atherix,PIBO
Baetis,PIBO
Blephariceridae,PIBO
Brachycentrus,PIBO
Calineuria,PIBO
Calopterygidae,PIBO
Capniidae,PIBO
Caudatella,PIBO
Centroptilum,PIBO
Ceratopogoninae,PIBO
Chelifera_Metachela_Neoplasta,PIBO
Chironominae,PIBO
Chyrandra,PIBO
Cinygma,PIBO
Cinygmula,PIBO
Claassenia,PIBO
Cleptelmis,PIBO
Clinocera,PIBO
Cryptochia,PIBO
Deuterophlebiidae,PIBO
Diamesinae,PIBO
Dicosmoecus,PIBO
Dicranota,PIBO
Diphetor,PIBO
Dixa,PIBO
Dolichopodidae,PIBO
Dolophilodes,PIBO
Doroneuria,PIBO
Drunella_coloradensis_flavilinea,PIBO
Drunella_doddsii,PIBO
Drunella_grandis,PIBO
Drunella_spinifera,PIBO
Dubiraphia,PIBO
Ecclisomyia,PIBO
Epeorus,PIBO
Ephemerella,PIBO
Eubrianax,PIBO
Farula,PIBO
Forcipomyiinae,PIBO
Glossosoma,PIBO
Glutops,PIBO
Gumaga,PIBO
Helodon,PIBO
Helophorus,PIBO
Hemerodromia,PIBO
Hesperoconopa,PIBO
Hesperoperla,PIBO
Heterlimnius,PIBO
Hexatoma,PIBO
Homophylax,PIBO
Hydraena,PIBO
Hydropsyche,PIBO
Hydroptilidae,PIBO
Ironodes,PIBO
Isogenoides,PIBO
Isoperla,PIBO
Kathroperla,PIBO
Kogotus,PIBO
Lara,PIBO
Lepidostoma,PIBO
Leuctridae,PIBO
Limnophila,PIBO
Malenka,PIBO
Maruina,PIBO
Megarcys,PIBO
Meringodixa,PIBO
Micrasema,PIBO
Microcylloepus,PIBO
Narpus,PIBO
Nemata,PIBO
Neophylax,PIBO
Neothremma,PIBO
Oligophlebodes,PIBO
Onocosmoecus,PIBO
Optioservus,PIBO
Ordobrevia,PIBO
Oreodytes,PIBO
Oreogeton,PIBO
Oreoleptis,PIBO
Ormosia,PIBO
Orthocladiinae,PIBO
Other_Chloroperlidae,PIBO
Other_Hydrobiidae,PIBO
Other_Oligochaeta,PIBO
Paraleptophlebia,PIBO
Parapsyche,PIBO
Pedicia,PIBO
Peltoperlidae,PIBO
Pericoma_Telmatoscopus,PIBO
Perlinodes,PIBO
Pisidiidae,PIBO
Planorbidae,PIBO
Polycentropodidae,PIBO
Prosimulium,PIBO
Psychoglypha,PIBO
Pteronarcella,PIBO
Pteronarcys,PIBO
Rhabdomastix,PIBO
Rhithrogena,PIBO
Rhizelmis,PIBO
Rhyacophila_alberta_group,PIBO
Rhyacophila_angelita_group,PIBO
Rhyacophila_betteni_group,PIBO
Rhyacophila_brunnea_vemna_groups,PIBO
Rhyacophila_coloradensis_group,PIBO
Rhyacophila_hyalinata_group,PIBO
Rhyacophila_sibirica_group,PIBO
Rhyacophila_verrula_group,PIBO
Rhyacophila_vofixa_group,PIBO
Rhyacophilla_vagrita_group,PIBO
Rickera,PIBO
Sericostriata,PIBO
Serratella,PIBO
Setvena,PIBO
Sialis,PIBO
Simulium,PIBO
Siphlonuridae,PIBO
Skwala,PIBO
Stenonema,PIBO
Tabanidae,PIBO
Taeniopterygidae,PIBO
Tanypodinae,PIBO
Thaumaleidae,PIBO
Tipula,PIBO
Trichoclinocera,PIBO
Tricorythodes,PIBO
Turbellaria,PIBO
Unk_Elmid_Genus_Barr,PIBO
Visoka,PIBO
Wiedemannia,PIBO
Wormaldia,PIBO
Zaitzevia,PIBO
Zapada,PIBO
ABEDUS,WestWide
Acentrella,WestWide
Acerpenna,WestWide
Acneus,WestWide
Aeshna,WestWide
Agabinus,WestWide
Agabus,WestWide
Agapetus,WestWide
Agraylea,WestWide
Allocosmoecus,WestWide
Allomyia,WestWide
AMBRYSUS,WestWide
Ameletidae,WestWide
Ametor,WestWide
Amiocentrus,WestWide
Amphinemura,WestWide
Amphizoa,WestWide
Ampumixis,WestWide
Anagapetus,WestWide
Anax,WestWide
Antocha,WestWide
Apatania,WestWide
ARACHNIDA,WestWide
Archilestes,WestWide
Arctopsyche,WestWide
Argia,WestWide
Asioplax,WestWide
Astacidae,WestWide
Athericidae,WestWide
Atopsyche,WestWide
Atractelmis,WestWide
Attenella,WestWide
Baetis,WestWide
Baetodes,WestWide
Berosus,WestWide
Blephariceridae,WestWide
Brachycentrus,WestWide
Brychius,WestWide
CAECIDOTEA,WestWide
Caenis,WestWide
Calineuria,WestWide
Callibaetis,WestWide
Cambaridae,WestWide
Camelobaetidius,WestWide
Capniidae,WestWide
Carabidae,WestWide
Caudatella,WestWide
CENTROPTILUM_PROCLOEON,WestWide
Ceraclea,WestWide
Ceratopogonidae,WestWide
Cernotina,WestWide
Cheumatopsyche,WestWide
Chimarra,WestWide
Chironominae,WestWide
Chyrandra,WestWide
Cinygma,WestWide
Cinygmula,WestWide
Claassenia,WestWide
Cleptelmis,WestWide
Clistoronia,WestWide
Cordulegastridae,WestWide
Corixidae,WestWide
Corydalus,WestWide
Crangonyx,WestWide
Cryptochia,WestWide
Cryptolabis,WestWide
Culicidae,WestWide
CULOPTILA,WestWide
Curculionidae,WestWide
Cylloepus,WestWide
Desmona,WestWide
DEUTEROPHLEBIA,WestWide
Dicosmoecus,WestWide
Dicranota,WestWide
Diphetor,WestWide
Dixa,WestWide
Dixella,WestWide
Dolichopodidae,WestWide
Dolophilodes,WestWide
Doroneuria,WestWide
Drunella_coloradensis_flavilinea,WestWide
DRUNELLA_DODDSI,WestWide
Drunella_grandis,WestWide
Drunella_pelosa,WestWide
Drunella_spinifera,WestWide
